,Transition_From,Transition_To,Rate,Year,Race,Sex,Age_Group
0,Abs,Abs,0.9329617428239371,0–3,White,Male,18-35
1,Abs,Abs,0.9329617428239371,0–3,Black,Male,18-35
2,Abs,Abs,0.9329617428239371,0–3,Hispanic,Male,18-35
3,Abs,Abs,0.9329617428239371,0–3,Other,Male,18-35
4,Abs,Abs,0.9329617428239371,0–3,White,Female,18-35
5,Abs,Abs,0.9329617428239371,0–3,Black,Female,18-35
6,Abs,Abs,0.9329617428239371,0–3,Hispanic,Female,18-35
7,Abs,Abs,0.9329617428239371,0–3,Other,Female,18-35
8,Abs,Abs,0.9329617428239371,0–3,White,Male,36-50
9,Abs,Abs,0.9329617428239371,0–3,Black,Male,36-50
10,Abs,Abs,0.9329617428239371,0–3,Hispanic,Male,36-50
11,Abs,Abs,0.9329617428239371,0–3,Other,Male,36-50
12,Abs,Abs,0.9329617428239371,0–3,White,Female,36-50
13,Abs,Abs,0.9329617428239371,0–3,Black,Female,36-50
14,Abs,Abs,0.9329617428239371,0–3,Hispanic,Female,36-50
15,Abs,Abs,0.9329617428239371,0–3,Other,Female,36-50
16,Abs,Abs,0.9329617428239371,0–3,White,Male,51+
17,Abs,Abs,0.9329617428239371,0–3,Black,Male,51+
18,Abs,Abs,0.9329617428239371,0–3,Hispanic,Male,51+
19,Abs,Abs,0.9329617428239371,0–3,Other,Male,51+
20,Abs,Abs,0.9329617428239371,0–3,White,Female,51+
21,Abs,Abs,0.9329617428239371,0–3,Black,Female,51+
22,Abs,Abs,0.9329617428239371,0–3,Hispanic,Female,51+
23,Abs,Abs,0.9329617428239371,0–3,Other,Female,51+
24,Low,Abs,0.09008888794110395,0–3,White,Male,18-35
25,Low,Abs,0.09008888794110395,0–3,Black,Male,18-35
26,Low,Abs,0.09008888794110395,0–3,Hispanic,Male,18-35
27,Low,Abs,0.09008888794110395,0–3,Other,Male,18-35
28,Low,Abs,0.09008888794110395,0–3,White,Female,18-35
29,Low,Abs,0.09008888794110395,0–3,Black,Female,18-35
30,Low,Abs,0.09008888794110395,0–3,Hispanic,Female,18-35
31,Low,Abs,0.09008888794110395,0–3,Other,Female,18-35
32,Low,Abs,0.09008888794110395,0–3,White,Male,36-50
33,Low,Abs,0.09008888794110395,0–3,Black,Male,36-50
34,Low,Abs,0.09008888794110395,0–3,Hispanic,Male,36-50
35,Low,Abs,0.09008888794110395,0–3,Other,Male,36-50
36,Low,Abs,0.09008888794110395,0–3,White,Female,36-50
37,Low,Abs,0.09008888794110395,0–3,Black,Female,36-50
38,Low,Abs,0.09008888794110395,0–3,Hispanic,Female,36-50
39,Low,Abs,0.09008888794110395,0–3,Other,Female,36-50
40,Low,Abs,0.09008888794110395,0–3,White,Male,51+
41,Low,Abs,0.09008888794110395,0–3,Black,Male,51+
42,Low,Abs,0.09008888794110395,0–3,Hispanic,Male,51+
43,Low,Abs,0.09008888794110395,0–3,Other,Male,51+
44,Low,Abs,0.09008888794110395,0–3,White,Female,51+
45,Low,Abs,0.09008888794110395,0–3,Black,Female,51+
46,Low,Abs,0.09008888794110395,0–3,Hispanic,Female,51+
47,Low,Abs,0.09008888794110395,0–3,Other,Female,51+
48,Med,Abs,0.002840702708047659,0–3,White,Male,18-35
49,Med,Abs,0.002840702708047659,0–3,Black,Male,18-35
50,Med,Abs,0.002840702708047659,0–3,Hispanic,Male,18-35
51,Med,Abs,0.002840702708047659,0–3,Other,Male,18-35
52,Med,Abs,0.002840702708047659,0–3,White,Female,18-35
53,Med,Abs,0.002840702708047659,0–3,Black,Female,18-35
54,Med,Abs,0.002840702708047659,0–3,Hispanic,Female,18-35
55,Med,Abs,0.002840702708047659,0–3,Other,Female,18-35
56,Med,Abs,0.002840702708047659,0–3,White,Male,36-50
57,Med,Abs,0.002840702708047659,0–3,Black,Male,36-50
58,Med,Abs,0.002840702708047659,0–3,Hispanic,Male,36-50
59,Med,Abs,0.002840702708047659,0–3,Other,Male,36-50
60,Med,Abs,0.002840702708047659,0–3,White,Female,36-50
61,Med,Abs,0.002840702708047659,0–3,Black,Female,36-50
62,Med,Abs,0.002840702708047659,0–3,Hispanic,Female,36-50
63,Med,Abs,0.002840702708047659,0–3,Other,Female,36-50
64,Med,Abs,0.002840702708047659,0–3,White,Male,51+
65,Med,Abs,0.002840702708047659,0–3,Black,Male,51+
66,Med,Abs,0.002840702708047659,0–3,Hispanic,Male,51+
67,Med,Abs,0.002840702708047659,0–3,Other,Male,51+
68,Med,Abs,0.002840702708047659,0–3,White,Female,51+
69,Med,Abs,0.002840702708047659,0–3,Black,Female,51+
70,Med,Abs,0.002840702708047659,0–3,Hispanic,Female,51+
71,Med,Abs,0.002840702708047659,0–3,Other,Female,51+
72,High,Abs,0.032337192221567355,0–3,White,Male,18-35
73,High,Abs,0.032337192221567355,0–3,Black,Male,18-35
74,High,Abs,0.032337192221567355,0–3,Hispanic,Male,18-35
75,High,Abs,0.032337192221567355,0–3,Other,Male,18-35
76,High,Abs,0.032337192221567355,0–3,White,Female,18-35
77,High,Abs,0.032337192221567355,0–3,Black,Female,18-35
78,High,Abs,0.032337192221567355,0–3,Hispanic,Female,18-35
79,High,Abs,0.032337192221567355,0–3,Other,Female,18-35
80,High,Abs,0.032337192221567355,0–3,White,Male,36-50
81,High,Abs,0.032337192221567355,0–3,Black,Male,36-50
82,High,Abs,0.032337192221567355,0–3,Hispanic,Male,36-50
83,High,Abs,0.032337192221567355,0–3,Other,Male,36-50
84,High,Abs,0.032337192221567355,0–3,White,Female,36-50
85,High,Abs,0.032337192221567355,0–3,Black,Female,36-50
86,High,Abs,0.032337192221567355,0–3,Hispanic,Female,36-50
87,High,Abs,0.032337192221567355,0–3,Other,Female,36-50
88,High,Abs,0.032337192221567355,0–3,White,Male,51+
89,High,Abs,0.032337192221567355,0–3,Black,Male,51+
90,High,Abs,0.032337192221567355,0–3,Hispanic,Male,51+
91,High,Abs,0.032337192221567355,0–3,Other,Male,51+
92,High,Abs,0.032337192221567355,0–3,White,Female,51+
93,High,Abs,0.032337192221567355,0–3,Black,Female,51+
94,High,Abs,0.032337192221567355,0–3,Hispanic,Female,51+
95,High,Abs,0.032337192221567355,0–3,Other,Female,51+
96,Very High,Abs,0.07182099774114158,0–3,White,Male,18-35
97,Very High,Abs,0.07182099774114158,0–3,Black,Male,18-35
98,Very High,Abs,0.07182099774114158,0–3,Hispanic,Male,18-35
99,Very High,Abs,0.07182099774114158,0–3,Other,Male,18-35
100,Very High,Abs,0.07182099774114158,0–3,White,Female,18-35
101,Very High,Abs,0.07182099774114158,0–3,Black,Female,18-35
102,Very High,Abs,0.07182099774114158,0–3,Hispanic,Female,18-35
103,Very High,Abs,0.07182099774114158,0–3,Other,Female,18-35
104,Very High,Abs,0.07182099774114158,0–3,White,Male,36-50
105,Very High,Abs,0.07182099774114158,0–3,Black,Male,36-50
106,Very High,Abs,0.07182099774114158,0–3,Hispanic,Male,36-50
107,Very High,Abs,0.07182099774114158,0–3,Other,Male,36-50
108,Very High,Abs,0.07182099774114158,0–3,White,Female,36-50
109,Very High,Abs,0.07182099774114158,0–3,Black,Female,36-50
