,Sex,Race,Age_Group,Drinking_Stage,Rate,Year
20,Female,Black,,Abs,,2000
21,Female,Black,,Abs,,2000
22,Female,Black,,Abs,,2000
23,Female,Black,,Abs,,2000
116,Female,Black,,High,,2000
117,Female,Black,,High,,2000
118,Female,Black,,High,,2000
119,Female,Black,,High,,2000
52,Female,Black,,Low,,2000
53,Female,Black,,Low,,2000
54,Female,Black,,Low,,2000
55,Female,Black,,Low,,2000
84,Female,Black,,Med,,2000
85,Female,Black,,Med,,2000
86,Female,Black,,Med,,2000
87,Female,Black,,Med,,2000
148,Female,Black,,Very High,,2000
149,Female,Black,,Very High,,2000
150,Female,Black,,Very High,,2000
151,Female,Black,,Very High,,2000
24,Female,Hispanic,,Abs,,2000
25,Female,Hispanic,,Abs,,2000
26,Female,Hispanic,,Abs,,2000
27,Female,Hispanic,,Abs,,2000
120,Female,Hispanic,,High,,2000
121,Female,Hispanic,,High,,2000
122,Female,Hispanic,,High,,2000
123,Female,Hispanic,,High,,2000
56,Female,Hispanic,,Low,,2000
57,Female,Hispanic,,Low,,2000
58,Female,Hispanic,,Low,,2000
59,Female,Hispanic,,Low,,2000
88,Female,Hispanic,,Med,,2000
89,Female,Hispanic,,Med,,2000
90,Female,Hispanic,,Med,,2000
91,Female,Hispanic,,Med,,2000
152,Female,Hispanic,,Very High,,2000
153,Female,Hispanic,,Very High,,2000
154,Female,Hispanic,,Very High,,2000
155,Female,Hispanic,,Very High,,2000
28,Female,Other,,Abs,,2000
29,Female,Other,,Abs,,2000
30,Female,Other,,Abs,,2000
31,Female,Other,,Abs,,2000
124,Female,Other,,High,,2000
125,Female,Other,,High,,2000
126,Female,Other,,High,,2000
127,Female,Other,,High,,2000
60,Female,Other,,Low,,2000
61,Female,Other,,Low,,2000
62,Female,Other,,Low,,2000
63,Female,Other,,Low,,2000
92,Female,Other,,Med,,2000
93,Female,Other,,Med,,2000
94,Female,Other,,Med,,2000
95,Female,Other,,Med,,2000
156,Female,Other,,Very High,,2000
157,Female,Other,,Very High,,2000
158,Female,Other,,Very High,,2000
159,Female,Other,,Very High,,2000
16,Female,White,,Abs,,2000
17,Female,White,,Abs,,2000
18,Female,White,,Abs,,2000
19,Female,White,,Abs,,2000
112,Female,White,,High,,2000
113,Female,White,,High,,2000
114,Female,White,,High,,2000
115,Female,White,,High,,2000
48,Female,White,,Low,,2000
49,Female,White,,Low,,2000
50,Female,White,,Low,,2000
51,Female,White,,Low,,2000
80,Female,White,,Med,,2000
81,Female,White,,Med,,2000
82,Female,White,,Med,,2000
83,Female,White,,Med,,2000
144,Female,White,,Very High,,2000
145,Female,White,,Very High,,2000
146,Female,White,,Very High,,2000
147,Female,White,,Very High,,2000
4,Male,Black,,Abs,,2000
5,Male,Black,,Abs,,2000
6,Male,Black,,Abs,,2000
7,Male,Black,,Abs,,2000
100,Male,Black,,High,,2000
101,Male,Black,,High,,2000
102,Male,Black,,High,,2000
103,Male,Black,,High,,2000
36,Male,Black,,Low,,2000
37,Male,Black,,Low,,2000
38,Male,Black,,Low,,2000
39,Male,Black,,Low,,2000
68,Male,Black,,Med,,2000
69,Male,Black,,Med,,2000
70,Male,Black,,Med,,2000
71,Male,Black,,Med,,2000
132,Male,Black,,Very High,,2000
133,Male,Black,,Very High,,2000
134,Male,Black,,Very High,,2000
135,Male,Black,,Very High,,2000
8,Male,Hispanic,,Abs,,2000
9,Male,Hispanic,,Abs,,2000
10,Male,Hispanic,,Abs,,2000
11,Male,Hispanic,,Abs,,2000
104,Male,Hispanic,,High,,2000
105,Male,Hispanic,,High,,2000
106,Male,Hispanic,,High,,2000
107,Male,Hispanic,,High,,2000
40,Male,Hispanic,,Low,,2000
41,Male,Hispanic,,Low,,2000
42,Male,Hispanic,,Low,,2000
43,Male,Hispanic,,Low,,2000
72,Male,Hispanic,,Med,,2000
73,Male,Hispanic,,Med,,2000
74,Male,Hispanic,,Med,,2000
75,Male,Hispanic,,Med,,2000
136,Male,Hispanic,,Very High,,2000
137,Male,Hispanic,,Very High,,2000
138,Male,Hispanic,,Very High,,2000
139,Male,Hispanic,,Very High,,2000
12,Male,Other,,Abs,,2000
13,Male,Other,,Abs,,2000
14,Male,Other,,Abs,,2000
15,Male,Other,,Abs,,2000
108,Male,Other,,High,,2000
109,Male,Other,,High,,2000
110,Male,Other,,High,,2000
111,Male,Other,,High,,2000
44,Male,Other,,Low,,2000
45,Male,Other,,Low,,2000
46,Male,Other,,Low,,2000
47,Male,Other,,Low,,2000
76,Male,Other,,Med,,2000
77,Male,Other,,Med,,2000
78,Male,Other,,Med,,2000
79,Male,Other,,Med,,2000
140,Male,Other,,Very High,,2000
141,Male,Other,,Very High,,2000
142,Male,Other,,Very High,,2000
143,Male,Other,,Very High,,2000
0,Male,White,,Abs,,2000
1,Male,White,,Abs,,2000
2,Male,White,,Abs,,2000
3,Male,White,,Abs,,2000
96,Male,White,,High,,2000
97,Male,White,,High,,2000
98,Male,White,,High,,2000
99,Male,White,,High,,2000
32,Male,White,,Low,,2000
33,Male,White,,Low,,2000
34,Male,White,,Low,,2000
35,Male,White,,Low,,2000
64,Male,White,,Med,,2000
65,Male,White,,Med,,2000
66,Male,White,,Med,,2000
67,Male,White,,Med,,2000
128,Male,White,,Very High,,2000
129,Male,White,,Very High,,2000
130,Male,White,,Very High,,2000
131,Male,White,,Very High,,2000
