,Sex,Age_Group,Race,Drinking_Stage,Rate,Year
0,Female,18-34,White,Abs,0.4898522,2000
1,Female,18-34,White,Low,0.4484844,2000
2,Female,18-34,White,Med,0.0426478,2000
3,Female,18-34,White,High,0.0141102,2000
4,Female,18-34,White,Very High,0.0049054,2000
5,Female,18-34,Black,Abs,0.4898522,2000
6,Female,18-34,Black,Low,0.4484844,2000
7,Female,18-34,Black,Med,0.0426478,2000
8,Female,18-34,Black,High,0.0141102,2000
9,Female,18-34,Black,Very High,0.0049054,2000
10,Female,18-34,Hispanic,Abs,0.4898522,2000
11,Female,18-34,Hispanic,Low,0.4484844,2000
12,Female,18-34,Hispanic,Med,0.0426478,2000
13,Female,18-34,Hispanic,High,0.0141102,2000
14,Female,18-34,Hispanic,Very High,0.0049054,2000
15,Female,18-34,Other,Abs,0.4898522,2000
16,Female,18-34,Other,Low,0.4484844,2000
17,Female,18-34,Other,Med,0.0426478,2000
18,Female,18-34,Other,High,0.0141102,2000
19,Female,18-34,Other,Very High,0.0049054,2000
20,Female,35-54,White,Abs,0.4898522,2000
21,Female,35-54,White,Low,0.4484844,2000
22,Female,35-54,White,Med,0.0426478,2000
23,Female,35-54,White,High,0.0141102,2000
24,Female,35-54,White,Very High,0.0049054,2000
25,Female,35-54,Black,Abs,0.4898522,2000
26,Female,35-54,Black,Low,0.4484844,2000
27,Female,35-54,Black,Med,0.0426478,2000
28,Female,35-54,Black,High,0.0141102,2000
29,Female,35-54,Black,Very High,0.0049054,2000
30,Female,35-54,Hispanic,Abs,0.4898522,2000
31,Female,35-54,Hispanic,Low,0.4484844,2000
32,Female,35-54,Hispanic,Med,0.0426478,2000
33,Female,35-54,Hispanic,High,0.0141102,2000
34,Female,35-54,Hispanic,Very High,0.0049054,2000
35,Female,35-54,Other,Abs,0.4898522,2000
36,Female,35-54,Other,Low,0.4484844,2000
37,Female,35-54,Other,Med,0.0426478,2000
38,Female,35-54,Other,High,0.0141102,2000
39,Female,35-54,Other,Very High,0.0049054,2000
